Current Instance,Load Range (Max U%),Intel Recommendation,AMD Recommendation,Projected Max Util,Approx. Cost Savings (Intel/AMD),Reason (with AWS Best Practices)
--- T Series (Burstable Performance) ---,,,,,,
t3.2xlarge,0-10%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40%,~87% / ~88%,2-step downsize (quarter size); aggressive for very low U.
t3.2xlarge,10-20%,t3.large ($0.0832/h),t3a.large (~$0.0752/h),~40%,~75% / ~75%,1-step (half); standard for <40% U.
t3.2xlarge,20-35%,t3.xlarge ($0.1664/h),t3a.xlarge (~$0.1504/h),~60-70%,~50% / ~55%,"Minimal (half); mid U, Balanced preset (20% headroom)."
t3.2xlarge,35-50%,Stay t3.2xlarge ($0.3328/h),"t3a.2xlarge (~$0.3008/h, switch)",~50%,0% / ~10%,No downsize for critical; switch AMD for savings.
t3.xlarge,0-10%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40%,~75% / ~75%,1.5-step equiv; aggressive for low U.
t3.xlarge,10-20%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40-60%,~75% / ~75%,1-step + adjust; standard <40%.
t3.xlarge,20-35%,t3.large ($0.0832/h),t3a.large (~$0.0752/h),~60-70%,~50% / ~50%,Half; Balanced headroom.
t3.xlarge,35-50%,Stay t3.xlarge ($0.1664/h),"t3a.xlarge (~$0.1504/h, switch)",~50%,0% / ~10%,Stay/switch for critical.
t3.large,0-10%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40%,~50% / ~50%,1-step; aggressive low U.
t3.large,10-20%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40-60%,~50% / ~50%,1-step; standard.
t3.large,20-35%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~60-70%,~50% / ~50%,Half; mid U conservative.
t3.large,35-50%,Stay t3.large ($0.0832/h),"t3a.large (~$0.0752/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
t3.medium,0-50%,Stay t3.medium ($0.0416/h),"t3a.medium (~$0.0376/h, switch)",<70%,0% / ~10%,Smallest size; stay or switch to AMD for savings.
--- M Series (General Purpose) ---,,,,,,
m5.24xlarge,0-10%,m5.4xlarge ($0.768/h),m5a.4xlarge (~$0.667/h),~40%,~83% / ~86%,2+ steps (1/6 size); aggressive for very low U.
m5.24xlarge,10-20%,m5.8xlarge ($1.536/h),m5a.8xlarge (~$1.333/h),~40%,~67% / ~71%,1.5 steps; balanced for <40% U.
m5.24xlarge,20-35%,m5.12xlarge ($2.304/h),m5a.12xlarge (~$2.000/h),~60-70%,~50% / ~57%,1 step; conservative for mid-range U.
m5.24xlarge,35-50%,Stay m5.24xlarge ($4.608/h),"m5a.24xlarge (~$4.147/h, switch)",~50%,0% / ~10%,No downsize for critical; switch to AMD.
m5.16xlarge,0-10%,m5.2xlarge ($0.384/h),m5a.2xlarge (~$0.333/h),~40%,~87% / ~89%,3-step aggressive downsize.
m5.16xlarge,10-20%,m5.4xlarge ($0.768/h),m5a.4xlarge (~$0.667/h),~40-60%,~75% / ~78%,2-step standard downsize.
m5.16xlarge,20-35%,m5.8xlarge ($1.536/h),m5a.8xlarge (~$1.333/h),~60-70%,~50% / ~57%,1-step conservative downsize.
m5.16xlarge,35-50%,Stay m5.16xlarge ($3.072/h),"m5a.16xlarge (~$2.765/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
m5.12xlarge,0-10%,m5.2xlarge ($0.384/h),m5a.2xlarge (~$0.333/h),~40%,~83% / ~86%,2.5-step aggressive downsize.
m5.12xlarge,10-20%,m5.4xlarge ($0.768/h),m5a.4xlarge (~$0.667/h),~40-60%,~67% / ~71%,1.5-step standard downsize.
m5.12xlarge,20-35%,m5.8xlarge ($1.536/h),m5a.8xlarge (~$1.333/h),~60%,~33% / ~42%,Downsize to nearest half size.
m5.12xlarge,35-50%,Stay m5.12xlarge ($2.304/h),"m5a.12xlarge (~$2.074/h, switch)",~50%,0% / ~10%,No downsize.
m5.8xlarge,0-10%,m5.xlarge ($0.192/h),m5a.xlarge (~$0.167/h),~40%,~87% / ~89%,3-step aggressive downsize.
m5.8xlarge,10-20%,m5.2xlarge ($0.384/h),m5a.2xlarge (~$0.333/h),~40-60%,~75% / ~78%,2-step standard downsize.
m5.8xlarge,20-35%,m5.4xlarge ($0.768/h),m5a.4xlarge (~$0.667/h),~60-70%,~50% / ~57%,1-step conservative downsize.
m5.8xlarge,35-50%,Stay m5.8xlarge ($1.536/h),"m5a.8xlarge (~$1.333/h, switch)",~50%,0% / ~13%,Stay or switch to AMD.
m5.4xlarge,0-10%,m5.large ($0.096/h),m5a.large (~$0.083/h),~40%,~87% / ~89%,3-step aggressive downsize.
m5.4xlarge,10-20%,m5.xlarge ($0.192/h),m5a.xlarge (~$0.167/h),~40-60%,~75% / ~78%,2-step standard downsize.
m5.4xlarge,20-35%,m5.2xlarge ($0.384/h),m5a.2xlarge (~$0.333/h),~60-70%,~50% / ~57%,1-step conservative downsize.
m5.4xlarge,35-50%,Stay m5.4xlarge ($0.768/h),"m5a.4xlarge (~$0.667/h, switch)",~50%,0% / ~13%,No downsize.
